trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.11598222130000556}",35,15,9.632496428846835,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.11018311023500528}",20,12,-76.73416426579988,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.10467395472325501}",25,5,7.325816527348875,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.09944025698709225}",25,5,18.377354092146295,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.09446824413773763}",20,12,12.76951880854208,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.08974483193085075}",20,9,9.321636603567196,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.0852575903343082}",20,0,-13.348812798085076,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.0809947108175928}",30,16,20.36259099072004,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07694497527671315}",20,0,-18.2470543431074,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.07309772651287749}",20,9,10.653092914268766,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.06944284018723361}",25,17,-8.602563169577506,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.06597069817787193}",25,15,-2.0235253197536394,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.06267216326897833}",20,15,1.4607077314930865,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.05953855510552941}",25,18,15.229961141392202,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.056561627350252934}",30,0,40.41490344169673,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.053733545982740286}",35,16,19.144629438422175,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.051046868683603266}",20,3,27.244222463386986,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.048494525249423104}",25,9,17.004439344524364,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.046069798986951946}",30,10,21.97919887218911,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.043766309037604346}",25,0,28.424231518358507,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.04157799358572413}",30,13,4.569969336378585,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.03949909390643792}",25,17,15.300431814731645,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.03752413921111602}",25,14,18.853133675221827,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.03564793225056022}",20,0,-34.6114688813542,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
